Location,Property Type,Bedrooms,Bathrooms,Size,Price,Source_URL
"Loresho, Westlands",townhouse,4,4.0,432 m²,108000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=9
"Rosslyn, Westlands",house,4,4.0,,91000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=9
Lavington,townhouse,4,4.0,,85000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=9
Lavington,townhouse,5,5.0,,75000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=9
"Runda, Westlands",house,7,7.0,518 m²,160000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=9
Kileleshwa,villa,6,7.0,503 m²,67000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=9
Kileleshwa,villa,5,5.0,418 m²,55000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=9
Kileleshwa,villa,5,5.0,360 m²,48000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=9
Kileleshwa,villa,6,6.0,503 m²,67000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=9
Kileleshwa,villa,5,5.0,488 m²,64000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=9
Kileleshwa,villa,6,6.0,740 m²,98000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=9
Kileleshwa,villa,4,5.0,609 m²,81000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=9
Lavington,villa,5,5.0,,220000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=9
Kileleshwa,villa,3,4.0,255 m²,33000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=9
Karen,house,5,5.0,,160000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=9
Lavington,townhouse,5,6.0,,75000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=9
Lavington,townhouse,5,6.0,,81000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=9
Lavington,townhouse,6,7.0,,85000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=9
Lavington,townhouse,5,5.0,,160000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=10
Lavington,townhouse,5,5.0,,160000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=10
Lavington,villa,5,5.0,630 m²,160000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=10
"Kahawa Sukari, Roysambu",house,4,4.0,,45000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=10
"Kyuna, Westlands",townhouse,3,4.0,"0,5 m²",48000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=10
"Brookside, Westlands",townhouse,6,6.0,3.500 ft²,43000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=10
Lavington,villa,6,7.0,9.180 ft²,85000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=10
"Loresho, Westlands",house,4,5.0,,115000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=10
"Loresho, Westlands",house,4,5.0,,105000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=10
Karen,villa,5,6.0,,150000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=10
Karen,villa,5,6.0,,160000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=10
Karen,villa,10,10.0,,235000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=10
Lavington,townhouse,5,6.0,,60000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=10
"Runda, Westlands",house,4,5.0,,120000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=10
"Kitisuru, Westlands",townhouse,5,6.0,498 m²,95000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=10
"Rosslyn, Westlands",townhouse,4,5.0,,135000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=10
South C,townhouse,4,4.0,,26000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=10
"Kyuna, Westlands",house,5,5.0,,110000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=10
Lavington,townhouse,5,5.0,341 m²,80000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=10
Lavington,townhouse,5,6.0,450 m²,160000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=10
Lavington,townhouse,5,5.0,392 m²,55000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=10
Lavington,villa,5,,,110000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=10
"Runda, Westlands",townhouse,7,7.0,,160000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=11
Lavington,townhouse,4,5.0,,168000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=11
Lavington,villa,5,6.0,6.400 ft²,160000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=11
Lavington,townhouse,5,6.0,,75000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=11
Lavington,townhouse,5,6.0,,81000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=11
Lavington,townhouse,6,7.0,,85000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=11
Karen,villa,5,7.0,,128500000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=11
Lavington,house,5,6.0,,90000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=11
Lavington,townhouse,6,7.0,,100000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=11
Lavington,house,5,6.0,,75000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=11
Lavington,house,6,7.0,,83000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=11
Lavington,house,5,6.0,,100000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=11
South B,townhouse,3,3.0,220 m²,,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=11
"Brookside, Westlands",townhouse,5,7.0,,168000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=11
"Brookside, Westlands",townhouse,5,6.0,,131000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=11
Lavington,townhouse,5,6.0,,80000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=11
"Loresho, Westlands",townhouse,5,5.0,7.005 ft²,109000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=11
Lavington,townhouse,5,5.0,,65000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=11
