Location,Property Type,Bedrooms,Bathrooms,Size,Amenities,Price,Listing Date,Source_URL,Scrape_Date
,house,4,4,,"Rosslyn, Westlands",91000000.0,,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=9,2026-02-18
,townhouse,4,4,,Lavington,85000000.0,,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=9,2026-02-18
,townhouse,5,5,,Lavington,75000000.0,,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=9,2026-02-18
,house,7,7,518 m²,"Runda, Westlands",160000000.0,,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=9,2026-02-18
,villa,6,7,503 m²,Kileleshwa,67000000.0,,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=9,2026-02-18
,villa,5,5,418 m²,Kileleshwa,55000000.0,,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=9,2026-02-18
,villa,5,5,360 m²,Kileleshwa,48000000.0,,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=9,2026-02-18
,villa,6,6,503 m²,Kileleshwa,67000000.0,,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=9,2026-02-18
,villa,5,5,488 m²,Kileleshwa,64000000.0,,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=9,2026-02-18
,villa,6,6,740 m²,Kileleshwa,98000000.0,,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=9,2026-02-18
,villa,4,5,609 m²,Kileleshwa,81000000.0,,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=9,2026-02-18
,villa,5,5,,Lavington,220000000.0,,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=9,2026-02-18
,villa,3,4,255 m²,Kileleshwa,33000000.0,,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=9,2026-02-18
,house,5,5,,Karen,160000000.0,,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=9,2026-02-18
,townhouse,5,6,,Lavington,75000000.0,,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=9,2026-02-18
,townhouse,5,6,,Lavington,81000000.0,,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=9,2026-02-18
,townhouse,6,7,,Lavington,85000000.0,,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=9,2026-02-18
,townhouse,5,5,,Lavington,160000000.0,,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=10,2026-02-18
,townhouse,5,5,,Lavington,160000000.0,,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=10,2026-02-18
,villa,5,5,630 m²,Lavington,160000000.0,,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=10,2026-02-18
,house,4,4,,"Kahawa Sukari, Roysambu",45000000.0,,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=10,2026-02-18
,townhouse,3,4,"0,5 m²","Kyuna, Westlands",48000000.0,,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=10,2026-02-18
,townhouse,6,6,3.500 ft²,"Brookside, Westlands",43000000.0,,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=10,2026-02-18
,villa,6,7,9.180 ft²,Lavington,85000000.0,,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=10,2026-02-18
,house,4,5,,"Loresho, Westlands",115000000.0,,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=10,2026-02-18
,house,4,5,,"Loresho, Westlands",105000000.0,,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=10,2026-02-18
,villa,5,6,,Karen,150000000.0,,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=10,2026-02-18
,villa,5,6,,Karen,160000000.0,,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=10,2026-02-18
