Location,Property Type,Bedrooms,Bathrooms,Size,Price,Source_URL,Size_m2,price_per_sqft,month
Kileleshwa,townhouse,4,5.0,,73000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=6,64.0,1140625.0,2
Lavington,townhouse,5,5.0,,110000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=6,64.0,1718750.0,2
Nyari,house,4,5.0,,120000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=6,64.0,1875000.0,2
"Gigiri, Westlands",house,5,6.0,,185000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=6,64.0,2890625.0,2
Lavington,villa,5,5.0,,95000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=6,64.0,1484375.0,2
Spring Valley,townhouse,5,6.0,,110000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=6,64.0,1718750.0,2
Lavington,townhouse,5,5.0,,72000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=6,64.0,1125000.0,2
"Thigiri, Westlands",house,5,5.0,,125000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=6,64.0,1953125.0,2
Riverside,villa,5,5.0,7.000 ft²,120000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=6,0.650321,184524258.02027,2
Karen,villa,5,5.0,,110000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=6,64.0,1718750.0,2
Langata,townhouse,4,5.0,,30000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=6,64.0,468750.0,2
Lavington,townhouse,5,5.0,,95000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=6,64.0,1484375.0,2
Lavington,house,5,5.0,"0,8 m²",350000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=6,0.8,437500000.0,2
Loresho,villa,5,5.0,,104000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=6,64.0,1625000.0,2
Karen,house,5,5.0,,190000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=6,64.0,2968750.0,2
Lavington,house,5,6.0,,100000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=6,64.0,1562500.0,2
Lavington,villa,5,5.0,,78000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=6,64.0,1218750.0,2
Lavington,villa,5,5.0,,65000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=7,64.0,1015625.0,2
Lavington,villa,5,5.0,,75000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=7,64.0,1171875.0,2
Lavington,villa,5,5.0,,160000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=7,64.0,2500000.0,2
Lavington,villa,5,5.0,3.498 m²,55000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=7,3.498,15723270.440251572,2
Lavington,villa,5,5.0,7.500 ft²,167000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=7,0.6967725,239676508.47299513,2
